날짜,15:30 종가,02:00 종가
2023-07-10,1306.5,
2023-07-11,1293.7,
2023-07-12,1288.7,
2023-07-13,1274.0,
2023-07-14,1265.8,
2023-07-17,1266.6,
2023-07-18,1260.4,
2023-07-19,1265.6,
2023-07-20,1269.9,
2023-07-21,1283.4,
2023-07-24,1279.9,
2023-07-25,1275.4,
2023-07-26,1274.5,
2023-07-27,1277.7,
2023-07-28,1277.0,
2023-07-31,1274.6,
2023-08-01,1283.8,
2023-08-02,1298.5,
2023-08-03,1299.1,
2023-08-04,1309.8,
2023-08-07,1306.2,
2023-08-08,1315.7,
2023-08-09,1315.7,
2023-08-10,1316.0,
2023-08-11,1324.9,
2023-08-14,1330.9,
2023-08-16,1336.9,
2023-08-17,1342.0,
2023-08-18,1338.3,
2023-08-21,1342.6,
2023-08-22,1335.5,
2023-08-23,1339.7,
2023-08-24,1322.6,
2023-08-25,1325.2,
2023-08-28,1323.4,
2023-08-29,1321.9,
2023-08-30,1323.4,
2023-08-31,1321.8,
2023-09-01,1318.8,
2023-09-04,1319.8,
2023-09-05,1330.6,
2023-09-06,1330.5,
2023-09-07,1335.4,
2023-09-08,1333.4,
2023-09-11,1331.1,
2023-09-12,1327.8,
2023-09-13,1330.0,
2023-09-14,1325.7,
2023-09-15,1325.9,
2023-09-18,1324.4,
2023-09-19,1328.5,
2023-09-20,1330.1,
2023-09-21,1339.7,
2023-09-22,1336.8,
2023-09-25,1336.5,
2023-09-26,1348.5,
2023-09-27,1349.3,
2023-10-04,1363.5,
2023-10-05,1350.5,
2023-10-06,1349.9,
2023-10-10,1349.5,
2023-10-11,1338.7,
2023-10-12,1338.5,
2023-10-13,1350.0,
2023-10-16,1353.7,
2023-10-17,1353.6,
2023-10-18,1349.6,
2023-10-19,1357.4,
2023-10-20,1352.4,
2023-10-23,1353.7,
2023-10-24,1343.1,
2023-10-25,1349.7,
2023-10-26,1360.0,
2023-10-27,1355.9,
2023-10-30,1350.9,
2023-10-31,1350.5,
2023-11-01,1357.3,
2023-11-02,1342.9,
2023-11-03,1322.4,
2023-11-06,1297.3,
2023-11-07,1307.9,
2023-11-08,1310.6,
2023-11-09,1310.1,
2023-11-10,1316.8,
2023-11-13,1325.1,
2023-11-14,1328.9,
2023-11-15,1300.8,
2023-11-16,1296.9,
2023-11-17,1296.9,
2023-11-20,1291.6,
2023-11-21,1289.2,
2023-11-22,1300.5,
2023-11-23,1297.5,
2023-11-24,1306.4,
2023-11-27,1303.8,
2023-11-28,1293.7,
2023-11-29,1289.6,
2023-11-30,1290.0,
2023-12-01,1305.8,
2023-12-04,1304.0,
2023-12-05,1311.2,
2023-12-06,1313.1,
2023-12-07,1325.3,
2023-12-08,1306.8,
2023-12-11,1316.5,
2023-12-12,1314.0,
2023-12-13,1319.9,
2023-12-14,1295.4,
2023-12-15,1296.5,
2023-12-18,1297.2,
2023-12-19,1307.8,
2023-12-20,1298.9,
2023-12-21,1305.1,
2023-12-22,1303.0,
2023-12-26,1294.5,
2023-12-27,1294.2,
2023-12-28,1288.0,
2024-01-02,1300.4,
2024-01-03,1304.8,
2024-01-04,1310.0,
2024-01-05,1315.4,
2024-01-08,1316.0,
2024-01-09,1315.7,
2024-01-10,1320.1,
2024-01-11,1312.9,
2024-01-12,1313.5,
2024-01-15,1320.2,
2024-01-16,1331.8,
2024-01-17,1344.2,
2024-01-18,1339.7,
2024-01-19,1339.0,
2024-01-22,1338.9,
2024-01-23,1333.4,
2024-01-24,1337.0,
2024-01-25,1335.8,
2024-01-26,1336.3,
2024-01-29,1335.7,
2024-01-30,1329.4,
2024-01-31,1334.6,
2024-02-01,1331.8,
2024-02-02,1322.6,
2024-02-05,1330.8,
2024-02-06,1327.6,
2024-02-07,1327.8,
2024-02-08,1328.2,
2024-02-13,1328.1,
2024-02-14,1335.4,
2024-02-15,1334.0,
2024-02-16,1335.4,
2024-02-19,1335.2,
2024-02-20,1337.6,
2024-02-21,1334.7,
2024-02-22,1328.7,
2024-02-23,1331.0,
2024-02-26,1331.1,
2024-02-27,1331.0,
2024-02-28,1333.6,
2024-02-29,1331.5,
2024-03-04,1331.3,
2024-03-05,1334.5,
2024-03-06,1334.5,
2024-03-07,1330.9,
2024-03-08,1319.8,
2024-03-11,1310.3,
2024-03-12,1311.0,
2024-03-13,1314.5,
2024-03-14,1317.6,
2024-03-15,1330.5,
2024-03-18,1333.7,
2024-03-19,1339.8,
2024-03-20,1339.6,
2024-03-21,1322.4,
2024-03-22,1338.4,
2024-03-25,1342.1,
2024-03-26,1339.5,
2024-03-27,1348.7,
2024-03-28,1346.2,
2024-03-29,1347.2,
2024-04-01,1349.4,
2024-04-02,1352.1,
2024-04-03,1348.9,
2024-04-04,1347.1,
2024-04-05,1352.8,
2024-04-08,1353.2,
2024-04-09,1354.9,
2024-04-11,1364.1,
2024-04-12,1375.4,
2024-04-15,1384.0,
2024-04-16,1394.5,
2024-04-17,1386.8,
2024-04-18,1372.9,
2024-04-19,1382.2,
2024-04-22,1379.2,
2024-04-23,1378.3,
2024-04-24,1369.2,
2024-04-25,1375.0,
2024-04-26,1375.3,
2024-04-29,1377.0,
2024-04-30,1382.0,
2024-05-02,1375.9,
2024-05-03,1362.8,
2024-05-07,1360.1,
2024-05-08,1361.5,
2024-05-09,1370.1,
2024-05-10,1368.1,
2024-05-13,1368.2,
2024-05-14,1369.1,
2024-05-16,1345.0,
2024-05-17,1354.9,
2024-05-20,1355.9,
2024-05-21,1363.3,
2024-05-22,1362.9,
2024-05-23,1362.4,
2024-05-24,1369.5,
2024-05-27,1363.8,
2024-05-28,1358.5,
2024-05-29,1365.0,
2024-05-30,1379.4,
2024-05-31,1384.5,
2024-06-03,1376.1,
2024-06-04,1376.0,
2024-06-05,1373.0,
2024-06-07,1365.3,
